Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
17,30807,1,1,95,223,95,95,95.0,0.0,223,223,223.0,0.0,10322.329340734248,64.92031031908333,30807.0,0.0,30807,30807,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,32.460155159541664,32.460155159541664,95,223,159.0,90.50966799187808,8192.0,0,0,0,0,0,0,0,0,1.0,159.0,95.0,223.0,0,0,0,0,0,0,0,47,0,111,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,BENIGN
6,1311253,44,46,2664,6954,456,0,60.54545454545456,107.2500782339292,976,0,151.17391304347828,307.38013413345925,7334.968919041558,68.63663991617179,14733.179775280898,101510.58821290985,952920,0,1311253,30494.25581395349,153345.30899575778,996219,0,1311101,29135.577777777777,142295.39291070928,953065,1,24,26,0,0,0,0,1424,1488,33.55569062568399,35.0809492904878,0,976,106.86666666666665,235.3825096363292,55404.92584269661,4,4,0,50,88,0,0,0,1.0454545454545454,106.86666666666666,60.54545454545455,151.17391304347825,672,4,58272,1648,6,122011,0,29,0,77,29200,243,24,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1311253,BENIGN
6,43,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,23255.81395348837,23255.81395348837,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,43,Portscan
6,34,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,58823.52941176471,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,29411.76470588236,29411.76470588236,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,34,Infiltration - Portscan
6,167026,8,5,354,11595,354,0,44.25,125.15790027001891,5792,0,2319.0,2423.6297159425985,71539.76027684312,77.83219379018836,13918.833333333334,38912.78647258001,136155,1,167026,23860.857142857145,55467.88897019179,148848,1,153520,38380.0,65730.03004208453,136247,45,1,1,0,0,1,0,264,168,47.89673464011591,29.935459150072443,0,5792,919.1538461538462,1814.916795436908,3293922.9743589745,1,2,1,2,12,0,0,0,0.625,919.1538461538462,44.25,2319.0,0,0,0,0,0,0,0,27,0,891,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,167026,DoS Hulk
6,80,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25000.0,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,12499.999999999998,12499.999999999998,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,80,Portscan
6,48,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66666666666,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,0,0,48,0,41666.66666666666,0.0,0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,48,Infiltration - Portscan
6,42,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47619.04761904762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,23809.52380952381,23809.52380952381,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,42,Portscan
6,16018547,7,6,378,11595,378,0,53.99999999999999,142.8705707974879,5792,0,1932.5,2537.820147291766,747.4460698588954,0.8115592506611242,1334878.9166666667,4623135.26946061,16015305,0,16018547,2669757.833333333,6537956.242340366,16015305,0,1597,319.4,381.487614477849,955,2,1,1,0,0,1,0,240,200,0.4369934426636822,0.3745658079974419,0,5792,921.0,1908.8771568647364,3643812.0,1,3,1,2,11,0,0,0,0.8571428571428571,921.0,54.0,1932.5,0,0,0,0,0,0,0,29,0,891,29200,235,1,32,0.0,0.0,0,0,16015305.0,0.0,16015305,16015305,0,0,16018547,DoS Hulk
6,63,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31746.031746031746,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,15873.015873015873,15873.015873015873,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,63,Portscan
6,42,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47619.04761904762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,23809.52380952381,23809.52380952381,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,42,Portscan
6,6508807,8,4,20,11595,20,0,2.5,7.071067811865476,8760,0,2898.75,4129.722296958961,1784.5052096336549,1.8436558343180247,591709.7272727273,1823534.7443978188,6077841,3,6508807,929829.5714285714,2275048.771828336,6077841,3,425425,141808.3333333333,227629.8188338543,404382,195,1,1,0,0,1,0,172,92,1.22910388954535,0.6145519447726749,0,8760,967.9166666666669,2585.499299707481,6684806.628787878,1,2,1,2,11,0,0,0,0.5,967.9166666666666,2.5,2898.75,0,0,0,0,0,0,0,1,0,966,8192,229,1,20,430966.0,0.0,430966,430966,6077841.0,0.0,6077841,6077841,0,0,6508807,DDoS
6,44,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.545454545456,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,22727.272727272728,22727.272727272728,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,44,Portscan
6,51,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627450981,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,19607.843137254906,19607.843137254906,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,51,Portscan
17,30810,4,2,176,144,44,44,44.0,0.0,72,72,72.0,0.0,10386.2382343395,194.7419668938656,6162.000000000001,13504.298500847795,30317,3,30323,10107.666666666668,17501.796060214314,30317,3,48,48.0,0.0,48,48,0,0,0,0,0,0,32,16,129.82797792924376,64.91398896462188,44,72,53.333333333333336,14.459137825841022,209.06666666666663,0,0,0,0,0,0,0,0,0.5,53.333333333333336,44.0,72.0,176,4,5804,0,0,0,0,29,0,24,0,0,3,8,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,BENIGN
6,5901404,5,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.3556096142545062,843057.7142857142,1572202.3135733004,4300400,37,5901404,1475351.0,1923508.5000656133,4300400,234967,5621247,2810623.5,2439097.666558783,4535326,1085921,0,0,0,0,0,0,168,112,0.8472560089090664,0.5083536053454398,0,0,0.0,0.0,0.0,2,3,0,0,7,0,0,0,0.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,106,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,5901404,BENIGN
6,35,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,57142.857142857145,35.0,0.0,35,35,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,28571.42857142857,28571.42857142857,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,35,Portscan
6,21,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.09523809524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,47619.04761904762,47619.04761904762,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,21,Infiltration - Portscan
6,24107317,7,5,20,11595,20,0,2.857142857142857,7.559289460184544,5840,0,2319.0,2438.258599902808,481.8039269985955,0.4977741820045757,2191574.2727272725,7240460.783066628,24022331,3,24107317,4017886.166666667,9800181.309635296,24022331,3,59986,14996.499999999998,24799.53040550029,51773,47,1,1,0,0,1,0,152,112,0.2903682728360025,0.2074059091685731,0,5840,967.9166666666669,1893.2241118998004,3584297.537878788,1,2,1,2,11,0,0,0,0.7142857142857143,967.9166666666666,2.857142857142857,2319.0,0,0,0,0,0,0,0,1,0,966,8192,229,1,20,84986.0,0.0,84986,84986,24022331.0,0.0,24022331,24022331,0,0,24107317,DDoS
6,10118994,10,6,20,11595,20,0,2.0,6.324555320336759,7215,0,1932.5,3125.165195633665,1147.8413763265398,1.5811848490077174,674599.5999999999,2576834.2638260555,9989026,1,10118994,1124332.6666666667,3324416.4204328405,9989026,1,91063,18212.6,32763.83806577001,76153,137,1,1,0,0,1,0,212,132,0.9882405306298234,0.5929443183778941,0,7215,725.9375,2046.285430359118,4187284.062500001,2,2,1,2,15,0,0,0,0.6,725.9375,2.0,1932.5,0,0,0,0,0,0,0,1,0,724,8192,229,1,20,129968.0,0.0,129968,129968,9989026.0,0.0,9989026,9989026,0,0,10118994,DDoS
6,69,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.50724637681,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,14492.753623188406,14492.753623188406,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,69,Portscan
6,1844660,19,25,1459,4536,378,0,76.78947368421052,90.93378479077109,1418,0,181.44,401.5042631571094,3249.921394728568,23.85263408975096,42899.06976744186,125233.89824214368,816935,3,1794951,99719.5,199067.6062400587,866919,47,1794944,74789.33333333333,161837.77875194134,816935,3,13,12,0,0,0,1,616,796,10.30000108421064,13.552633005540317,0,1418,136.25,310.138987972272,96186.19186046509,2,2,1,25,42,0,0,0,1.3157894736842106,136.25,76.78947368421052,181.44,0,0,0,0,0,0,0,33,0,103,29200,0,13,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1844660,BENIGN
6,44,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.545454545456,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,22727.272727272728,22727.272727272728,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,44,Portscan
6,156981,8,5,363,11595,363,0,45.37499999999999,128.3398807853584,8688,0,2319.0,3774.237538894445,76174.82370477956,82.81256967403698,13081.75,36876.720099480845,129180,0,156981,22425.85714285714,52939.86368962609,142006,0,143451,35862.75,62554.47765148391,129180,85,1,1,0,0,1,0,264,168,50.961581337868914,31.85098833616807,0,8688,919.846153846154,2466.4503794641755,6083377.474358975,1,2,1,2,12,0,0,0,0.625,919.8461538461538,45.375,2319.0,0,0,0,0,0,0,0,27,0,891,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,156981,DoS Hulk
6,61,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32786.88524590164,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,16393.44262295082,16393.44262295082,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,61,Portscan
6,8931372,7,5,20,11595,20,0,2.857142857142857,7.559289460184544,10220,0,2319.0,4456.742644577987,1300.472088722763,1.3435785677721184,811942.9090909091,2401359.2858938226,8004802,2,8931372,1488562.0,3213634.7055332223,8004802,5,917515,229378.75,458130.2810754273,916574,2,1,1,0,0,1,0,152,112,0.7837541645337357,0.5598244032383827,0,10220,967.9166666666669,2940.270131632414,8645188.446969695,1,2,1,2,11,0,0,0,0.7142857142857143,967.9166666666666,2.857142857142857,2319.0,0,0,0,0,0,0,0,1,0,966,8192,229,1,20,926570.0,0.0,926570,926570,8004802.0,0.0,8004802,8004802,0,0,8931372,DDoS
6,10017517,8,6,20,11595,20,0,2.5,7.071067811865476,7300,0,1932.5,3141.0089939380946,1159.4689582258757,1.397551908322192,770578.2307692309,2268723.074064467,8123370,2,10017517,1431073.8571428573,3033289.8856893773,8123370,4,1883935,376787.00000000006,834489.6666535182,1869535,2,1,1,0,0,1,0,172,132,0.7986010904698241,0.598950817852368,0,7300,829.6428571428572,2185.637087446582,4777009.478021978,2,2,1,2,13,0,0,0,0.75,829.6428571428571,2.5,1932.5,0,0,0,0,0,0,0,1,0,828,8192,229,1,20,1894147.0,0.0,1894147,1894147,8123370.0,0.0,8123370,8123370,0,0,10017517,DDoS
6,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09090909093,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,45454.545454545456,45454.545454545456,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,22,Infiltration - Portscan
6,29989,9,7,352,11595,352,0,39.11111111111112,117.33333333333331,4344,0,1656.428571428571,1757.5790031691183,398379.4057821201,533.5289606188936,1999.2666666666669,3963.462023222098,10854,0,29989,3748.625000000001,6885.333873790831,17958,0,18379,3063.166666666667,4792.17751827566,10950,2,1,1,0,0,1,0,296,232,300.11004034812765,233.418920270766,0,4344,746.6875000000001,1389.100942756381,1929601.4291666667,1,2,1,2,15,0,0,0,0.7777777777777778,746.6875,39.11111111111112,1656.428571428571,0,0,0,11595,5,42163636,0,22,0,724,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,29989,DoS Hulk
6,49,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40816.32653061225,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,20408.163265306124,20408.163265306124,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,49,Portscan
6,11277437,10,5,20,11595,20,0,2.0,6.324555320336759,11595,0,2319.0,5185.441639822012,1029.932599047106,1.3300894520625564,805531.2142857143,2681546.167131028,10059904,1,11277437,1253048.5555555555,3326121.666653037,10059904,1,1182615,295653.75,580633.491792298,1166544,6,1,1,0,0,1,0,212,112,0.8867263013750375,0.4433631506875187,0,11595,774.3333333333334,2993.451702506338,8960753.095238093,2,2,1,2,14,0,0,0,0.5,774.3333333333334,2.0,2319.0,0,0,0,0,0,0,0,1,0,773,8192,229,1,20,1217533.0,0.0,1217533,1217533,10059904.0,0.0,10059904,10059904,0,0,11277437,DDoS
6,48,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66666666666,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,20833.33333333333,20833.33333333333,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,48,Infiltration - Portscan
6,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,0,0,48,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,4,Infiltration - Portscan
6,8071234,9,6,20,11595,20,0,2.2222222222222223,6.666666666666667,5840,0,1932.5,2540.7434935467218,1439.061238962964,1.858451879848856,576516.7142857143,2009297.9328793287,7540798,4,8071234,1008904.25,2645642.762577623,7540798,4,525901,105180.2,233913.02862324705,523615,14,1,1,0,0,1,0,192,132,1.1150711279093135,0.7433807519395423,0,5840,774.3333333333334,1806.550448730819,3263624.523809524,1,2,1,2,14,0,0,0,0.6666666666666666,774.3333333333334,2.2222222222222223,1932.5,0,0,0,0,0,0,0,1,0,773,8192,229,1,20,530436.0,0.0,530436,530436,7540798.0,0.0,7540798,7540798,0,0,8071234,DDoS
6,15,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15,15,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,24,20,66666.66666666667,66666.66666666667,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,15,Infiltration - Portscan
6,57,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57,57,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,17543.859649122805,17543.859649122805,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,57,Portscan
